Customer_id,Loan_Account_id,Product_Type,Loan_Amount_SGD,Outstanding_Balance_SGD,Day_Past_Due,Tenure,Interest_Rate,Current_EMI_SGD,Installment_Due_Date,Last_Payment_Date,Partial_Payment_Indicator,Number_of_Past_Payments,Payment_Frequency,Amount_Paid_Each_Month_SGD,Bounce_History,Settlement_History,Repayment_Irregularity_Flags,Contact_History_Call_Attempts,Contact_History_SMS,Contact_History_WhatsApp,Contact_History_EmailLogs,Channel_used,Response_Outcome,Average_Handling_Time,Name,Age,Gender,Occupation,Income_Band_SGD,Employeement_Type,Address,Urban_Rural_Tag,Language_Preference,Mobile_Number_Active_Status,Email_Activity,App_Login_Frequency,UPI_Transactions,Online_Banking_Activity,Smartphone_Penetration,Preferred_Channel,Call_SMS_Activity_Patterns,WhatsApp_OTT_usage_Indicator,Credit_Score,Recent_Inquiries,Loan_Exposure_Across_Banks,Delinquency_on_other_Loans,Recent_Score_Change,Unemployeement_rate_region,Inflation_Rate,Interest_Rate_Trend,Economic_Stress_Index,Do_Not_Call_Registry_Data,Regional_Time_Restrictions,Communication_Complaince_Limits
SCB887716372,86893497,Education loan,19000.0,6215.64,32,60,8.0,416.07,2025-09-25,2025-08-24,False,43,Irregular,385.25,0,Partial Settlement,False,0,2,0,1,IVR,Partial paid,13.99,Yan Wong,54,Male,Homemaker,"50,000 or Below",Contract,764 Collyer Quay #13-97 Seletar Singapore 132961 Singapore,Urban,Regional,True,True,11,12,8,Medium,App notification,High,False,709,3,0,False,27,1.86,4.98,-0.16,0.32,True,Morning,Holidays
SCB272552610,62441466,Business loan,265000.0,12161.73,34,24,9.5,13140.73,2025-10-13,2025-09-09,False,23,Regular,12167.34,0,Settled,False,5,6,4,0,SMS,Promised to pay,18.79,Li Wong,35,Female,Student,"50,000 or Below",Freelance,377 Havelock Road #17-25 Hillview Singapore 422795 Singapore,Urban,English,True,True,11,16,8,High,IVR,Low,True,696,0,0,True,11,2.19,5.16,-0.06,0.1,True,Morning,Daytime
SCB249638768,34210512,Credit card,13000.0,7752.11,32,36,10.0,453.03,2025-09-22,2025-08-21,False,16,Regular,419.47,0,Not Settled,False,2,4,3,0,IVR,Paid fully,22.65,Ming Teo,26,Male,Student,"100,000 to 200,000",Full time,945 Bugis Street #11-17 Dairy Farm Singapore 477107 Singapore,Urban,English,True,True,14,11,10,High,SMS,High,True,719,2,0,False,-50,1.95,5.46,0.47,0.18,True,Night,Holidays
SCB245689489,29576703,Business loan,45000.0,1440.5,33,36,9.5,1556.8,2025-09-20,2025-08-18,False,35,Regular,1441.48,1,Partial Settlement,False,4,7,1,0,IVR,Partial paid,17.86,Anand Sharma,49,Others,Student,"100,000 to 200,000",Contract,481 Emerald Hill Road #45-41 Queenstown Singapore 791726 Singapore,Urban,Regional,True,True,10,18,7,High,App notification,Low,True,660,2,0,True,-19,1.86,5.35,0.22,0.1,False,Night,Weekdays
SCB287225564,75541801,Auto loan,155000.0,13545.49,31,12,9.0,14639.38,2025-10-13,2025-09-12,False,11,Regular,13554.98,0,Not Settled,False,3,0,1,0,IVR,Partial paid,27.8,Ling Lim,67,Male,Homemaker,"200,000 to 300,000",Part time,872 Collyer Quay #11-21 Balestier Singapore 995681 Singapore,Urban,English,True,True,10,12,4,Low,Call,Low,True,693,3,1,True,-11,2.01,5.32,0.32,0.31,False,Morning,Evening
SCB885403480,26953831,Education loan,34000.0,1537.93,31,24,8.0,1660.75,2025-10-11,2025-09-10,False,23,Irregular,1537.73,0,Settled,True,5,3,0,0,Call,Partial paid,27.11,Wei Lim,58,Male,Homemaker,"200,000 to 300,000",Part time,283 MacPherson Road #37-08 Upper Thomson Singapore 186224 Singapore,Urban,Regional,True,True,10,20,12,Medium,Call,Low,False,677,4,0,False,-39,2.08,4.61,-0.08,0.15,True,Afternoon,Holidays
SCB237587448,81819939,Credit card,39000.0,1796.9,31,24,10.0,1943.62,2025-10-04,2025-09-03,False,23,Regular,1799.65,0,Partial Settlement,False,4,7,2,1,WhatsApp,Connected,11.07,Kumar Singh,60,Female,Employed,"100,000 to 200,000",Freelance,173 Marine Parade Road #19-85 Ulu Pandan Singapore 504748 Singapore,Urban,English,False,True,10,8,9,High,WhatsApp,High,True,715,6,0,False,-42,1.85,5.05,0.24,0.36,False,Afternoon,Evening
SCB148763532,48538877,Business loan,185000.0,22689.44,8,60,9.5,3963.05,2025-10-06,2025-09-28,False,54,Irregular,3885.34,3,Partial Settlement,False,6,6,1,2,WhatsApp,Disconnected,11.51,Jie Ong,63,Female,Homemaker,"50,000 or Below",Full time,544 Jurong East Street #49-93 River Valley Singapore 648417 Singapore,Urban,English,True,False,3,14,8,Low,Call,Low,True,628,2,4,True,15,2.11,4.84,0.1,0.37,True,Afternoon,Evening
SCB247516100,39702914,Credit card,9000.0,2853.22,0,60,10.0,191.22,2025-10-11,2025-10-13,False,44,Irregular,191.22,2,Settled,True,4,3,2,0,SMS,Promised to pay,20.41,Abdullah bin Ismail,45,Female,Homemaker,"100,000 to 200,000",Part time,942 Farrer Road #16-47 Serangoon Singapore 956955 Singapore,Urban,Regional,True,True,14,10,5,Medium,Field Agent,Medium,True,667,3,2,False,0,2.03,4.1,-0.17,0.14,False,Morning,Weekends
SCB873383043,48660995,Auto loan,50000.0,4372.36,34,12,9.0,4722.38,2025-10-15,2025-09-11,False,11,Irregular,4372.57,0,Under Negotiation,True,5,3,2,1,SMS,Paid fully,16.43,Xin Ng,35,Female,Homemaker,"50,000 or Below",Contract,924 Holland Road #42-68 Braddell Singapore 587201 Singapore,Urban,Regional,True,True,7,13,8,Medium,IVR,Low,False,656,2,1,False,-12,1.94,4.81,0.12,0.28,False,Evening,Evening
SCB726709785,69292991,Education loan,21000.0,1822.12,30,12,8.0,1918.1,2025-10-07,2025-09-07,True,11,Irregular,1826.76,0,Partial Settlement,False,2,2,3,1,Call,Ignored,20.49,Feng Ng,65,Male,Unemployed,"200,000 to 300,000",Part time,649 Telok Ayer Street #13-16 Kranji Singapore 596396 Singapore,Urban,English,False,True,12,15,9,Low,IVR,Low,True,677,0,0,False,-41,2.03,5.12,0.1,0.14,False,Afternoon,Weekends
SCB385599266,96755840,Auto loan,200000.0,4137.7,30,60,9.0,4359.25,2025-09-18,2025-08-19,False,59,Irregular,4151.67,2,Under Negotiation,True,1,9,3,2,Call,Connected,17.11,Jie Teo,33,Male,Self-Employed,"50,000 to 100,000",Unemployed,985 Chinatown Street #22-37 HarbourFront Singapore 620775 Singapore,Urban,Regional,True,True,16,13,9,High,Field Agent,Medium,True,643,3,1,False,5,2.13,5.45,-0.11,0.32,False,Night,Holidays
SCB795150809,70628583,Business loan,380000.0,314494.53,33,48,9.5,10310.53,2025-10-14,2025-09-11,False,10,Regular,9546.79,0,Partial Settlement,False,1,5,3,0,IVR,Connected,28.51,Yan Koh,50,Female,Homemaker,"500,000 or Above",Unemployed,574 South Bridge Road #10-66 Balestier Singapore 624148 Singapore,Urban,Regional,True,True,15,15,4,Medium,Call,High,True,714,3,1,False,-8,2.18,4.51,-0.04,0.23,True,Evening,Weekdays
SCB357427167,29655820,Personal loan,74000.0,1811.14,0,48,8.5,1823.97,2025-10-11,2025-10-24,False,47,Irregular,1823.97,1,Partial Settlement,True,3,2,1,1,SMS,Partial paid,18.82,Xin Ong,64,Male,Employed,"500,000 or Above",Contract,514 Pasir Panjang Road #13-67 Serangoon Singapore 405741 Singapore,Urban,English,True,False,17,12,5,Low,IVR,High,True,621,1,0,True,16,2.18,4.22,0.09,0.13,False,Night,Evening
SCB494352531,50473321,Credit card,20000.0,9125.71,31,36,10.0,696.97,2025-10-07,2025-09-06,True,21,Regular,645.34,0,Not Settled,False,3,6,4,0,IVR,Connected,20.83,Ming Ong,26,Female,Employed,"50,000 or Below",Contract,682 South Bridge Road #16-21 Braddell Singapore 394794 Singapore,Urban,English,True,False,12,19,7,High,WhatsApp,Low,True,696,2,1,False,-34,1.81,4.27,0.21,0.23,False,Night,Evening
SCB185518073,46905710,Auto loan,5000.0,1772.17,34,48,9.0,134.38,2025-10-08,2025-09-04,False,33,Regular,124.43,1,Under Negotiation,False,4,6,1,0,Email,Disconnected,29.35,Ling Lim,46,Female,Unemployed,"200,000 to 300,000",Contract,745 Bras Basah Road #16-56 Orchard Singapore 461979 Singapore,Urban,English,True,False,13,15,12,Low,IVR,Low,True,700,2,1,False,-3,2.04,5.42,0.08,0.39,True,Evening,Holidays
SCB640699345,96621344,Auto loan,195000.0,42374.65,32,48,9.0,5240.79,2025-10-05,2025-09-03,False,39,Irregular,4852.58,0,Under Negotiation,False,5,3,0,0,Call,Paid fully,10.75,Ming Lee,28,Female,Unemployed,"200,000 to 300,000",Full time,639 Joo Chiat Road #49-75 Cairnhill Singapore 469554 Singapore,Urban,Regional,True,True,12,9,4,Low,Field Agent,High,True,702,2,2,False,19,2.01,4.66,0.08,0.27,False,Evening,Weekdays
SCB517788947,85785788,Business loan,125000.0,5709.83,20,24,9.5,6026.28,2025-09-21,2025-09-01,False,23,Irregular,5739.31,0,Not Settled,True,3,6,2,5,WhatsApp,Promised to pay,18.17,Jie Teo,47,Female,Employed,"100,000 to 200,000",Unemployed,319 Telok Ayer Street #36-98 Ulu Pandan Singapore 198729 Singapore,Urban,English,True,False,14,21,9,High,App notification,Low,False,623,0,1,True,-46,2.18,5.24,0.36,0.29,False,Afternoon,Daytime
SCB559478341,18989138,Credit card,14000.0,641.11,12,24,10.0,658.95,2025-09-28,2025-09-16,True,23,Irregular,646.03,2,Partial Settlement,True,0,6,2,2,IVR,Promised to pay,11.49,Ahmad bin Ali,48,Female,Unemployed,"500,000 or Above",Unemployed,141 Maxwell Road #16-43 Orchard Singapore 885368 Singapore,Urban,English,True,True,9,19,2,Low,SMS,Medium,True,632,1,3,False,-19,2.05,5.47,0.24,0.18,True,Afternoon,Weekends
SCB285683482,22866619,Credit card,7000.0,446.5,14,36,10.0,230.39,2025-09-29,2025-09-15,False,34,Irregular,225.87,3,Partial Settlement,True,1,3,4,1,Call,Partial paid,23.71,Xin Tan,48,Female,Retired,"500,000 or Above",Full time,599 Robinson Road #34-72 Bukit Timah Singapore 433669 Singapore,Urban,English,True,True,11,15,12,Medium,Field Agent,Medium,True,623,3,2,False,26,2.09,5.12,-0.06,0.36,True,Afternoon,Evening
SCB243549523,89491182,Auto loan,75000.0,3424.71,32,24,9.0,3700.47,2025-09-27,2025-08-26,False,23,Irregular,3426.36,0,Not Settled,True,5,1,3,1,WhatsApp,Partial paid,16.74,Jun Koh,32,Female,Self-Employed,"300,000 to 500,000",Contract,149 Collyer Quay #48-72 Telok Blangah Singapore 346038 Singapore,Urban,English,True,True,8,15,9,High,Email,Medium,False,666,0,2,False,47,2.05,4.92,0.01,0.38,False,Afternoon,Evening
SCB903869224,25648245,Education loan,62000.0,2785.52,0,24,8.0,2804.09,2025-10-16,2025-10-26,False,23,Irregular,2804.09,1,Under Negotiation,True,4,4,3,0,SMS,Ignored,18.84,Jun Ng,61,Male,Unemployed,"300,000 to 500,000",Part time,717 Maxwell Road #08-94 Tengah Singapore 820567 Singapore,Urban,English,True,True,7,14,10,Low,App notification,Medium,True,661,0,2,False,0,2.04,4.95,0.06,0.25,True,Afternoon,Weekends
SCB844886646,36336263,Business loan,440000.0,20193.07,34,24,9.5,21818.57,2025-09-28,2025-08-25,False,23,Irregular,20202.38,1,Partial Settlement,True,2,6,3,0,Call,Partial paid,28.37,Jie Teo,40,Male,Self-Employed,"500,000 or Above",Unemployed,517 Pasir Panjang Road #30-88 High Street Singapore 156723 Singapore,Urban,English,True,True,6,13,11,High,App notification,High,True,641,2,2,False,-32,2.07,4.21,-0.18,0.19,False,Morning,Daytime
SCB214348335,85902244,Personal loan,39000.0,10130.2,31,12,8.5,3673.7,2025-10-13,2025-09-12,False,9,Irregular,3401.57,0,Not Settled,False,6,1,3,0,Field Agent,Paid fully,17.03,Li Ng,49,Male,Retired,"300,000 to 500,000",Freelance,319 Jurong East Street #24-67 Pasir Ris Singapore 668681 Singapore,Urban,English,True,True,13,13,6,Medium,App notification,High,True,708,0,1,False,-15,2.18,5.27,0.44,0.34,False,Afternoon,Daytime
SCB206541105,66728215,Education loan,51000.0,23750.75,8,60,8.0,1054.78,2025-09-30,2025-09-22,False,35,Regular,1034.1,0,Not Settled,False,5,5,1,0,WhatsApp,Promised to pay,15.14,Jun Koh,50,Female,Student,"50,000 or Below",Full time,319 East Coast Road #25-61 Golden Mile Singapore 326594 Singapore,Urban,Regional,True,True,9,18,6,High,App notification,Low,True,710,2,1,False,9,1.87,4.54,0.43,0.33,True,Morning,Weekends
SCB991743779,91831756,Credit card,12000.0,3152.25,34,60,10.0,275.36,2025-09-25,2025-08-22,True,47,Regular,254.96,0,Settled,False,3,7,3,2,SMS,Connected,22.17,Hui Wong,32,Female,Homemaker,"200,000 to 300,000",Part time,641 Emerald Hill Road #29-43 Clementi New Town Singapore 919892 Singapore,Urban,English,True,True,8,13,11,Medium,Field Agent,Medium,True,645,3,0,True,-37,1.95,4.54,0.5,0.23,True,Morning,Weekdays
